Копилот,Интегрируемость,Понятная тарифная сетка,"Стоимость (за 1 запрос, USD)",Диалоговые ограничения,Ограничено ли кол-во запросов,Юрист,Бухгалтер,Маркетолог,HR,Копирайтер,Клиентский менеджер,Консультант,Дизайнер,Российская юридическая сфера
Dynamics 365 Copilot,0,1,0.15,8000,1,1,1,1,1,1,1,1,0,0
Microsoft 365 Copilot,0,1,0.06,6000,1,1,1,1,1,1,1,1,0,0
GitHub Copilot,1,1,0.03,4000,1,0,0,0,0,0,0,0,0,0
Intuit Assist,0,1,0.30,3000,1,0,1,0,0,0,0,1,0,0
Shopify Sidekick,0,1,0.036,2000,1,0,0,1,0,1,1,1,0,0
Zoho Zia Copilot,1,1,0.06,4000,1,1,1,1,1,1,1,1,0,0
Canva Magic Studio,1,1,0.026,2000,1,0,0,1,0,1,0,0,1,0
Notion AI + Templates,0,1,0.02,2000,1,0,0,1,1,1,0,0,0,0
YandexGPT,1,1,0.0009,32000,1,1,1,1,1,1,1,1,0,0
GigaChat,1,1,0.0007,8000,1,1,1,1,1,1,1,1,0,1
