id,law_type,registry_number,procurement_method,procurement_name,auction_subject,procurement_code,lot_number,lot_name,starting_price,okdp_classification,okpd_classification,okpd2_classification,position_code,customer_name,organizing_organization,procurement_stage,application_start_date,application_end_date,short_name,created_at
117,44-ФЗ,0148300000625001881,Электронный аукцион,"Оказание услуг по предоставлению доступа к информационно-телекоммуникационной сети ""Интернет""",,'253503102756250310100100860016110244',,,100800,,,61.10.4: Услуги телекоммуникационные проводные в информационно-коммуникационной сети Интернет,61.10.40.000-00000052: Услуги по доступу к информационно-коммуникационной сети Интернет,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ОБРАЗОВАНИЯ №45 С УГЛУБЛЕННЫМ ИЗУЧЕНИЕМ ИНОСТРАННОГО ЯЗЫКА""",АДМИНИСТРАЦИЯ БОГОРОДСКОГО ГОРОДСКОГО ОКРУГА МОСКОВСКОЙ ОБЛАСТИ,Подача заявок,2025-11-13 00:00:00,2025-11-21 00:00:00,закупка интернета для Центра образования №45,2025-11-15 13:24:00.535717
118,44-ФЗ,0348500004425000472,Электронный аукцион,"Поставка лекарственного(-ых) препарата(-ов) для медицинского применения ФУЛВЕСТРАНТ, БЛЕОМИЦИН, ПРЕДНИЗОЛОН",,'252502422347850240100107250012120244',,,983017.6,,,,,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""КРАСНОГОРСКАЯ БОЛЬНИЦА""","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""КРАСНОГОРСКАЯ БОЛЬНИЦА""",Подача заявок,2025-11-13 00:00:00,2025-11-27 00:00:00,"закупка лекарств: фулвестрант, блеомицин, преднизолон",2025-11-15 13:24:00.535717
119,44-ФЗ,0373200006225001581,Запрос котировок в электронной форме,Поставка пожарных стволов для сводной мобильной группировки,,'252771989579477190100101190010000244',,,303000,,,"25.99.29.190: Изделия прочие из недрагоценных металлов, не включенные в другие группировки",25.99.29.190-00000006: Ствол пожарный ручной; 25.99.29.190-00000007: Ствол пожарный ручной,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ЗАКАЗЧИКА ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА ВОСТОЧНОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Подача заявок,2025-11-13 00:00:00,2025-11-21 00:00:00,закупка пожарных стволов,2025-11-15 13:24:00.535717
120,44-ФЗ,0373200006225001580,Запрос котировок в электронной форме,Поставка пожарных разветвлений для оснащения сводной мобильной группировки,,'252771989579477190100101150010000244',,,306000,,,"25.99.29.190: Изделия прочие из недрагоценных металлов, не включенные в другие группировки",25.99.29.190-00000009: Разветвление рукавное; 25.99.29.190-00000010: Разветвление рукавное,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ЖИЛИЩНИК РАЙОНА ИЗМАЙЛОВО""","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ГОРОДА МОСКВЫ ""ДИРЕКЦИЯ ЗАКАЗЧИКА ЖИЛИЩНО-КОММУНАЛЬНОГО ХОЗЯЙСТВА И БЛАГОУСТРОЙСТВА ВОСТОЧНОГО АДМИНИСТРАТИВНОГО ОКРУГА""",Подача заявок,2025-11-13 00:00:00,2025-11-21 00:00:00,закупка пожарных разветвлений,2025-11-15 13:24:00.535717
122,44-ФЗ,0348500004425000471,Электронный аукцион,"Поставка лекарственного(-ых) препарата(-ов) для медицинского применения ФУЛВЕСТРАНТ, ЦИКЛОФОСФАМИД, ДОКСОРУБИЦИН, ПЕМЕТРЕКСЕД",,'252502422347850240100107230012120244',,,990916.3,,,,,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""КРАСНОГОРСКАЯ БОЛЬНИЦА""","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""КРАСНОГОРСКАЯ БОЛЬНИЦА""",Подача заявок,2025-11-13 00:00:00,2025-11-27 00:00:00,"закупка лекарств: фулвестрант, циклофосфамид, доксорубицин, пеметрексед",2025-11-15 13:24:00.535717
123,44-ФЗ,0348500004425000468,Электронный аукцион,"Поставка лекарственного(-ых) препарата(-ов) для медицинского применения ФУЛВЕСТРАНТ, ГЕМЦИТАБИН",,'252502422347850240100107190012120244',,,986564.9,,,,,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""КРАСНОГОРСКАЯ БОЛЬНИЦА""","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""КРАСНОГОРСКАЯ БОЛЬНИЦА""",Подача заявок,2025-11-13 00:00:00,2025-11-27 00:00:00,"закупка лекарств: фулвестрант, гемцитабин",2025-11-15 13:24:00.535717
131,44-ФЗ,2400500000225000435,Электронный аукцион,Поставка филграстима на 2026 год,,'252504411967650440100105830012120244',,,604315.25,,,,,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""СОЛНЕЧНОГОРСКАЯ БОЛЬНИЦА""","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""СОЛНЕЧНОГОРСКАЯ БОЛЬНИЦА""",Подача заявок,2025-11-13 00:00:00,2025-11-21 00:00:00,закупка филграстима,2025-11-15 13:24:00.535717
124,44-ФЗ,0348300075525000400,Электронный аукцион,"Поставка расходных материалов для цитологических исследований для нужд ГБУЗ Московской области ""Королёвская больница"" в 2026 году (ЦКДЛ)",,'253501800018450180100107300013250244',,,140521.3,,,"32.50.50.190: Изделия медицинские, в том числе хирургические, прочие, не включенные в другие группировки",32.50.50.190-00000540: Планшет для предметных стекол; 32.50.50.190-00000539: Шкаф для хранения микропрепаратов ,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""КОРОЛЁВСКАЯ БОЛЬНИЦА""","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""КОРОЛЁВСКАЯ БОЛЬНИЦА""",Подача заявок,2025-11-13 00:00:00,2025-11-25 00:00:00,закупка расходных материалов для цитологических исследований,2025-11-15 13:24:00.535717
125,44-ФЗ,0348500004425000467,Электронный аукцион,"Поставка лекарственного(-ых) препарата(-ов) для медицинского применения ПЕМЕТРЕКСЕД, ПАКЛИТАКСЕЛ, ДАКАРБАЗИН",,'252502422347850240100107160012120244',,,964090.6,,,,,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""КРАСНОГОРСКАЯ БОЛЬНИЦА""","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""КРАСНОГОРСКАЯ БОЛЬНИЦА""",Подача заявок,2025-11-13 00:00:00,2025-11-27 00:00:00,"закупка лекарств: пеметрексед, паклитаксел, дакарбазин",2025-11-15 13:24:00.535717
126,44-ФЗ,0348500004425000466,Электронный аукцион,"Поставка лекарственного(-ых) препарата(-ов) для медицинского применения ПАКЛИТАКСЕЛ, ДОКСОРУБИЦИН, АСПАРАГИНАЗА, ПЕМЕТРЕКСЕД",,'252502422347850240100107140012120244',,,916649,,,,,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""КРАСНОГОРСКАЯ БОЛЬНИЦА""","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ ""КРАСНОГОРСКАЯ БОЛЬНИЦА""",Подача заявок,2025-11-13 00:00:00,2025-11-26 00:00:00,"закупка лекарств: паклитаксел, доксорубицин, аспарагиназа, пеметрексед",2025-11-15 13:24:00.535717
